,ID,AWARDS
1361,750271,[]
1362,16729,[]
1363,16379,[]
1364,16837,[]
1365,16735,[]
1366,879371,[]
1367,16378,['Toured South Africa with the rebel West Indians in 1983/84']
1368,1023357,[]
1369,347660,[]
1370,16695,[]
1371,924161,[]
1372,16377,[]
1373,16376,[]
1374,16694,[]
1375,16693,[]
1376,581633,[]
1377,16842,[]
1378,579368,[]
1379,16692,[]
1380,16691,[]
1381,537925,[]
1382,16375,[]
1383,466238,[]
1384,578657,[]
1385,915057,[]
1386,17594,[]
1387,17590,[]
1388,17593,[]
1389,17888,[]
1390,17592,[]
1391,17887,[]
1392,17591,[]
1393,17589,[]
1394,17588,[]
1395,17886,[]
1396,17587,[]
1397,17586,[]
1398,17585,[]
1399,915065,[]
1400,17885,[]
1401,17884,[]
1402,1127431,[]
1403,696163,[]
1404,321794,[]
1405,544484,[]
1406,696365,[]
1407,605629,[]
1408,949511,[]
1409,16728,[]
1410,16825,[]
1411,16399,[]
1412,53807,[]
1413,16727,[]
1414,16690,[]
1415,514148,[]
1416,16410,[]
1417,363491,[]
1418,363490,[]
1419,1093087,[]
1420,16390,[]
1421,16689,[]
1422,16374,[]
1423,16406,[]
1424,16688,[]
1425,16687,[]
1426,16373,[]
1427,1149213,[]
1428,353446,[]
1429,17584,[]
1430,361970,[]
1431,1141715,[]
1432,541073,[]
1433,535139,[]
1434,914729,[]
1435,17883,[]
1436,17034,[]
1437,17583,[]
1438,17032,[]
1439,17582,[]
1440,399331,[]
1441,17031,[]
1442,211420,[]
1443,17581,[]
1444,17580,[]
1445,16686,[]
1446,881405,[]
1447,465108,[]
1448,515909,[]
1449,16685,[]
1450,16684,[]
1451,16372,[]
1452,16371,[]
1453,559484,[]
1454,16370,['Wisden Cricketer of the Year 1971']
1455,572762,[]
1456,16368,[]
1457,589065,[]
1458,338604,[]
1459,16683,[]
1460,537014,[]
1461,16682,[]
1462,1028987,[]
1463,17882,[]
1464,17579,[]
1465,17881,[]
1466,301490,[]
1467,17578,[]
1468,17957,[]
1469,17028,[]
1470,17577,[]
1471,17575,[]
1472,17029,[]
1473,17576,[]
1474,532577,[]
1475,17574,[]
1476,248292,[]
1477,17027,[]
1478,17573,[]
1479,589882,[]
1480,459505,[]
1481,16681,[]
1482,17168,[]
1483,16679,[]
1484,16736,[]
1485,16678,[]
1486,16677,[]
1487,16367,['NBC Denis Compton Award 2000']
1488,16676,[]
1489,16365,[]
1490,16675,[]
1491,335308,[]
1492,16364,[]
1493,16674,[]
1494,16673,[]
1495,573593,[]
1496,16672,[]
1497,16671,[]
1498,296880,[]
1499,535027,[]
1500,17572,[]
1501,17026,[]
1502,17571,[]
1503,17783,[]
1504,17025,['Awarded the OBE on 31st December 2013']
1505,17570,[]
1506,17569,[]
1507,17568,[]
1508,298152,[]
1509,17023,[]
1510,17963,[]
1511,400656,[]
1512,293273,[]
1513,257784,[]
1514,17226,[]
1515,16408,[]
1516,16670,[]
1517,16363,[]
1518,16362,[]
1519,16669,[]
1520,1141033,[]
1521,16668,[]
1522,16824,[]
1523,556920,[]
1524,16360,[]
1525,16359,[]
1526,16358,[]
1527,16823,[]
1528,16822,[]
1529,886103,[]
1530,16667,[]
1531,410523,[]
1532,568283,[]
1533,17987,['NBC Denis Compton Award 2006']
1534,17022,[]
1535,17191,[]
1536,1153257,[]
1537,17880,[]
1538,17879,[]
1539,536069,[]
1540,17567,[]
1541,17224,[]
1542,17145,[]
1543,17878,[]
1544,1095951,[]
1545,1146033,[]
1546,330874,[]
1547,517551,[]
1548,16666,[]
1549,16665,[]
1550,16664,[]
1551,16401,[]
1552,16356,[]
1553,16663,[]
1554,16662,[]
1555,16661,[]
1556,16660,[]
1557,53806,[]
1558,53805,[]
1559,16726,[]
1560,53700,[]
1561,460076,[]
